#variable_id,variable_type,variable_name,display_name,aliases,bounds,default_unit_name,question
913,numerical,ß-hcg,human chorionic gonadotropin,"hcg - human chorionic gonadotropin|chorionic gonadotropin  human|h-hcg|urinary hcg|human chorionic gonadotropin-containing product|hcg - human chorionic gonadotrophin|gonadotrophin, chorionic|human-chorionic gonadotropin|gonadotropin, human chorionic|human chorionic gonadotrophin|chorionic gonadotrophin human|gonadotropin,chorionic|human chorionic gonadotropin, nos|gonadotropins, chorionic, human|hcg  human chorionic gonadotropin|human chorionic gonadotrophin, nos|hcg preparation|human chorionic gonadotropin  hcg|human menopausal gonadotropin  urine derived|human chorionic gonadotropin  substance|chorionic gonadotrophin|hcg|human chorionic gonadotropin|human chorionic gonadotropins|chorionic gonadotropin, human|chorionic gonadotropin|product containing human chorionic gonadotropin  medicinal product|chorionic gonadotropin human|gonadotropin, chorionic",,,
914,numerical,haptoglobin,Haptoglobins,"haptoglobins|hp - haptoglobin|haptoglobin|haptoglobin  substance|haptoglobin, nos",,,
916,numerical,beta-hcg,"Chorionic Gonadotropin, beta Subunit, Human","human chorionic gonadotrophin, beta subunit|chorionic gonadotropin beta 3 subunit|human chorionic gonadotropin, beta subunit  substance|hcg beta subunit|bhcg - beta human chorionic gonadotrophin|bhcg - beta human chorionic gonadotropin|chorionic gonadotropin, beta polypeptide, human|beta human chorionic gonadotropin|chorionic gonadotropin beta polypeptide|chorionic gonadotropin, beta polypeptide 3|hcgbeta|chorionic gonadotropin, beta chain, human|beta human chorionic gonadotrophin|human chorionic gonadotropin beta subunit|beta-hcg|choriogonadotropin subunit beta 3|human chorionic gonadotropin - free beta|human chorionic gonadotropin, beta subunit|chorionic gonadotrophin beta subunit|hcg-beta|cg-beta|human chorionic gonadotropin  hcg , beta subunit|cgb3|chorionic gonadotropin, beta chain|chorionic gonadotropin, beta subunit, human|hcg beta|choriogonadotropin beta chain|choriogonadotropin subunit beta|hcg, beta subunit|human chorionic gonadotrophin - free beta|beta subunit hcg|beta-human chorionic gonadotropin|chorionic gonadotropin chain beta|chorionic gonadotropin beta chain",,,
917,numerical,sodium,sodium,"na|sodium 23|na - sodium|sodium|sodium, nos|na sodium|sodium  substance|sodium-23|sodium  nos|na element",,,
918,numerical,estradiol,estradiol,"17ϲ-estra-1,3,5 10 -triene-3,17-diol|estradiol anhydrous|estradiol 17-beta|estradiols|17ϲ -estra-1,3,5 10 -triene-3,17-diol|17ϲ-estradiol|beta-estradiol|17beta oestradiol|oestradiol|therapeutic estradiol|estradiol preparation|17-beta estradiol|cis-estradiol|estradiolum|17ϲ-oestradiol|17-beta oestradiol|estradiol-17beta|17beta -estra-1,3,5 10 -triene-3,17-diol|esdl|estradiol 17beta|estradiol  e2|17 beta estradiol|estradiol|estraldine|17beta estradiol|17 beta-oestradiol|e2 - estradiol|17 beta oestradiol|17-beta-estradiol|estradiol 17 beta|product containing estradiol  medicinal product|estradiol  substance|estradiol-17 beta|estradiol-containing product|17 beta-estradiol|estra-1,3,5 10 -triene-3,17-diol  17beta -",,,
919,numerical,monoclonal protein,Monoclonal Antibodies,"monoclonal antibody therapy|monoclonal protein|monoclonal antibody|monoclonal antibody  substance|monoclonal antibody-containing product|moab|monoclonal immunoglobulin-containing product|monoclonal immunoglobulin|monoclonal antibodies|antibodies, monoclonal|mab|product containing monoclonal antibody  product",,,
920,numerical,creatinine,creatinine,"creatinine|4h-imidazol-4-one, 2-amino-1,5-dihydro-1-methyl-|creatinina|creatinines|creatinine  substance",,,
921,numerical,eosinophils,eosinophil,"eosinophil leukocyte|eosinophilic granulocyte|blood eosinophils|marrow eosinophil|eosinocyte|eosinophil leucocyte|eosinophil|eosinophils|eosinophilic leukocyte|acidophilic leukocyte|eosinophil, segmented  cell|blood eosinophil|eosinophil, segmented",,,
922,numerical,erythrocytes,Red Blood Cell Count measurement,"count, erythrocyte|erythrocytes|red blood cell count|red cell count|red blood cells|red cell blood count|erythrocyte counts|erythrocyte numbers|counting rbc|erythrocyte count|rbc - red blood cell count|counts rbc|cell red blood count|rbc count|red blood cell count  procedure|whole blood erythrocytic cell counts|counts, erythrocyte|blood cell count, red|count rbcs|blood cell counts red|erythrocyte number|blood cells count red|blood cell count red|count rbc|rbc",,,
923,numerical,nitric oxide,nitric oxide,"nitrogen oxide  no|monoxide, nitrogen|óxido de nitrógeno ii|endothelial cell derived relaxing factor|endothelium-derived nitric oxide|no|nitric oxide, endothelium-derived|stickstoffmonoxid|nitric oxide-containing product|monoxyde d'azote|nitric oxide gas|nitrogen monoxide|óxido nítrico|edrf|no - nitric oxide|nitrogen protoxide|product containing nitric oxide  medicinal product|oxyde nitrique|nitric oxide  substance|nitrogen monooxide|nitric oxide|stickstoff ii -oxid|endogenous nitrate vasodilator|nitric oxide, endothelium derived|nitrosyl|oxide, nitric|nitrogen oxide|monoxide, mononitrogen|mononitrogen monoxide|nitric oxides|vasodilator, endogenous nitrate|endothelium-derived relaxing factor|monóxido de nitrógeno|oxyde azotique|nitrate vasodilator, endogenous",,,
924,numerical,protein/creatinine,Protein/Creatinine,protein creatinine|creatinine proteins|protein/creatinine|creatinine protein,,,
925,numerical,platelets,Blood Platelets,"hayem's elementary corpuscle|deetjeen's body|platelets|plt platelet|marrow platelet|thrombocyte|thrombocytes|platelets, blood|platelets blood|platelet  cell structure|reticuloendothelial system, platelets|platelet blood|bizzozero's corpuscle/cell|platelet, blood|blood platelets|platelet|plt - platelet|blood platelet|plt - platelets",,,
926,numerical,"kappa light chain, free",Immunoglobulin kappa-Chains,"ig light chain kappa|ig kappa chains|kappa-chain, immunoglobulin|immunoglobulin, light chain, kappa|kappa chain immunoglobulins|kappa-immunoglobulin light chain|immunoglobulin kappa chains|ig kappa chain|immunoglobulins, kappa chain|kappa light chain|immunoglobulin light chain, kappa|immunoglobulin, l chain, kappa  substance|kappa-chains, immunoglobulin|immunoglobulin kappa light-chain|kappa immunoglobulin light chains|kappa chains, ig|igk|kappa-immunoglobulin light chains|chains kappa light|immunoglobulin, l chain, kappa|immunoglobulin kappa-chain|light chains, kappa-immunoglobulin|light chain, kappa-immunoglobulin|immunoglobulin kappa|kappa-chain immunoglobulins|immunoglobulins, kappa-chain|chains, ig kappa|kappa immunoglobulin light chain|immunoglobulin kappa-chains|immunoglobulin kappa light chain|chain kappa light|immunoglobulin kappa chain",,,
927,numerical,cholesterol,cholesterol,"cholest-5-en-3-ol  3beta -|cholesterol  substance|3beta -cholest-5-en-3-ol|3ϲ,14ϲ,17ϱ -cholest-5-en-3-ol|5-cholesten-3b-ol|cholesterol|cholest-5-en-3beta-ol|- -cholesterol",,,
928,numerical,ldh,Lactate Dehydrogenase,"ld - lactate dehydrogenase|ldh - lactate dehydrogenase|s -lactate:nad+ oxidoreductase|nad-lactate dehydrogenase|l- + -lactate dehydrogenase|dehydrogenase, l-lactate|lactic acid dehydrogenase|l-lactate dehydrogenase|dehydrogenase lactate|lactate dehydrogenase|lactate dehydrogenases|l lactate dehydrogenase|l-lactic acid dehydrogenase|ldh|lactate dehydrogenase  substance|ec 1.1.1.27|l-lactate dehydrogenase  substance|dehydrogenase, lactate",,,
929,numerical,beta-2 microglobulin,beta-2 Microglobulin,2 beta microglobulin|beta-2-microglobulin|beta 2 microglobulin|beta 2-microglobulin|b-2m - beta 2 microglobulin|beta-2-microglobin|b2m|microglobulin beta 2|beta 2 microglobulin  substance|2 beta microglobulins|thymotaxin|beta-2 microglobulin,,,
930,numerical,insulin,Insulin,"unmodified insulin preparation|insulin product|insulin, regular|insulin-containing product|insulin preparation|regular insulin|product containing insulin  product|regular insulin preparation|soluble insulin|insulin  substance|insulin|insulin regular|insulins|insulin preparations|insulin, soluble|insulin products|insulin preparation, nos",,,
931,numerical,thyrotropin,thyrotropin,"thyrotrophin-containing product|thyrotrophin  substance|product containing thyrotrophin  medicinal product|thyroid stimulating hormone  tsh|thyrotrophin|thyrotropin|thyrotropic hormone preparation|tsh  thyroid stimulating hormone|thyreotropin|hormone, thyroid-stimulating|thyroid-stimulating hormone|thyrotropic hormone|tsh|thyroid stimulating hormone|tsh preparation|thyreotrophic hormone",,,
932,numerical,free t4,T4 free measurement,"free thyroxine measurement|free t4|ft4 - free thyroxine level|ft4 measurement|t4-free|free thyroxine  t4  level test|thyroxine, free|unbound t4 measurement|t4 free measurement|t4 free measurement  procedure|free t4 measurement|t4fr",,,
933,numerical,prostate specific antigen,Prostate,"prostatic gland|prostata  glandula prostatica|prostata|prostatic gland structure  body structure|prostates|prostate gland|genital system, male, prostate|prostatic structure  body structure|prostatic  qualifier value|prostate|prostatic|prostato-|prostate, nos|prostatic gland structure|gland, prostate|prostatic structure",,,
934,numerical,blood urea nitrogen,Blood urea nitrogen measurement,"blood urea measurement|blood urea nitrogen measurement  procedure|blood urea nitrogen  bun  level test|blood urea nitrogen measurement|blood urea measurement  procedure|blood urea nitrogen|bun measurement|nitrogen, blood urea|bun|urea blood|blood urea|urea nitrogen, blood",,,
935,numerical,specific gravity,Specific qualifier value,specific|specified|specific  qualifier value,,,
936,numerical,hemoglobin,Hemoglobin,"hgb - hemoglobin|hb - haemoglobin|hemoglobins|hb|hb - hemoglobin|hemoglobin  hb|hgb|hemoglobin|hgb - haemoglobin|hemoglobin, nos|hemoglobin  substance|haemoglobin, nos|haemoglobin",,,
937,numerical,albumin,Albumins,albumin|albumin  substance|albumins,,,
938,numerical,volume,Volume,volume*|volume|volumes|volume  property|total volume|volume  property   qualifier value|vol,,,
939,numerical,c-reactive protein,C-reactive protein,"protein, c-reactive|crp - c-reactive protein|c-reactive protein  crp|proteins, specific or class, c-reactive|c reactive protein  substance|c reactive proteins|crp|c-reactive protein|c reactive protein",,,
940,numerical,mch,Erythrocyte Mean Corpuscular Hemoglobin Test,erythrocyte mean corpuscular hemoglobin|mch - mean corpuscular hemoglobin|mch|mean cell haemoglobin|mean corpuscular hemoglobin determination  procedure|mch - mean corpuscular haemoglobin|mean cell hemoglobin|mch - mean cell haemoglobin|mean corpuscular hemoglobin determination|mch determination|mean corpuscular hemoglobin|mch - mean cell hemoglobin|mean corpuscular hemoglobin  mch  test|ery. mean corpuscular hemoglobin|mean corpuscular haemoglobin determination,,,
941,numerical,troponin i,Troponin I,inhibitory troponin subunit|tni|troponin i|inhibitory troponin i|troponin i  substance|troponin-i|tnni,,,
942,numerical,double-stranded dna,DNA,"deoxyribonucleic acids|deoxyribonucleic acid  substance|dna molecule|deoxyribonucleic acid|dna molecules|desoxyribonucleic acid|double-stranded dna|dna|dna - deoxyribonucleic acid|deoxyribonucleic acid  dna|dsdna|deoxyribonucleic acid, nos",,,
943,numerical,mcv,Molluscum contagiosum virus,molluscum contagiosum viruses|mcv|mocv|molluscum contagiosum virus|molluscum contagiosum subgroup virus|molluscum contagiosum virus  organism,,,
944,numerical,leukocytes,White Blood Cell Count procedure,"white blood cell count procedure|counts, leukocyte|leukocytes|number, leukocyte|blood cell count, white|count, leukocyte|leukocyte numbers|white blood cell count  procedure|wbc - white blood cell count|leukocyte count|numbers, leukocyte|white blood cells|leukocyte counts|wcc - white blood cell count|leukocyte number|wbc|white blood cell count - observation|white blood cell count|whole blood leukocyte counts|wbc count",,,
945,numerical,phosphate,Phosphates,"phosphates, inorganic|phosphate|phosphates|inorganic phosphates",,,
946,numerical,cortisol,hydrocortisone,"hydrocortisone-containing product|cortisol|11beta -11,17,21-trihydroxypregn-4-ene-3,20-dione|4-pregnen-11β,17α,21-triol-3,20-dione|11β -11,17,21-trihydroxypregn-4-ene-3,20-dione|hydrocortisone|hc|compound f|hydrocortisones|domolene|11beta-hydrocortisone|cortisol preparation|product containing hydrocortisone  medicinal product|pregn-4-ene-3,20-dione, 11,17,21-trihydroxy-,  11beta -|therapeutic hydrocortisone|hidrocortisona|cortisols|11beta,17alpha,21-trihydroxy-4-pregnene-3,20-dione|hydrocortisonum|compound f preparation|hydrocortisone  substance|hydrocortisone preparation|11β-hydrocortisone|17-hydroxycorticosterone",,,
947,numerical,hematocrit,Hematocrit procedure,"erythrocyte volume fraction|evf|hematocrit measurement|packed erythrocyte volume|hematocrits|red-cell volumes, packed|haematocrit determination|haematocrit|packed cell volume measurement  procedure|packed erythrocyte volumes|hematocrit|haematocrit - pcv|pcv|erythrocyte volumes, packed|hct - haematocrit|packed red-cell volumes|volumes, packed erythrocyte|hct - hematocrit|packed cell volume measurement|volume, packed red-cell|erythrocyte volume, packed|hematocrit determination  procedure|hematocrit - pcv|volume, packed erythrocyte|hematocrit determination|packed red-cell volume|red-cell volume, packed|whole blood hematocrit test|packed red cell volume|packed cell volume|volumes, packed red-cell|hct|hematocrit level test",,,
948,numerical,follicle stimulating hormone,Follicle stimulating hormone measurement,follicle stimulating hormone measurement|fsh level|fsh measurement|follicle stimulating hormone measurement  procedure|follicle stimulating hormone level|fsh - follicle stimulating hormone level|follicle stimulating hormone|fsh|follicle stimulating hormone  fsh  level test,,,
949,numerical,glucose,glucose,"dextrose|dextrose, unspecified form|d-glucose preparation|glucose-containing product|grape sugar|d glucose|glucose, nos|glucose preparation|d-glucopyranose monohydrate preparation|glucoses|glucose preparations|glucose|d + -glucose|endocrine glucose|glucosa|product containing glucose  medicinal product|6- hydroxymethyl oxane-2,3,4,5-tetrol|glucose  substance|d-glucose|dextrose, unspecified|dextrosa|dextrose preparation",,,
950,numerical,brain natriuretic peptide,nesiritide,"bnp gene product|natriuretic factor-32|human b-type natriuretic peptide|b type natriuretic peptides|bnp 1-32|peptide-32, brain natriuretic|brain natriuretic factor|natriuretic peptide-32, brain|nesiritide|nesiritide  substance|b type natriuretic peptide|bnp-32|nesiritide-containing product|type-b natriuretic peptide|natriuretic peptide, b-type|natriuretic peptide, brain|natriuretic peptide type b|natriuretic peptide b type|natriuretic factor, brain|human brain natriuretic factor-32|type b natriuretic peptide|brain natriuretic peptide  substance|brain natriuretic peptide|peptide, brain natriuretic|bnp 32|product containing nesiritide  medicinal product|brain natriuretic peptide 32|natriuretic peptide type-b|1,2-dithia-5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50-hexadecaazacyclotripentacontane, cyclic peptide derivative|natriuretic peptide, type-b|natriuretic factor 32|b-type natriuretic peptide|brain natriuretic peptides|brain natriuretic peptide-32|bnp|l-histidine, l-seryl-l-prolyl-l-lysyl-l-methionyl-l-valyl-l-glutaminylglycyl-l-serylglycyl-l-cysteinyl-l-phenylalanylglycyl-l-arginyl-l-lysyl-l-methionyl-l-alpha-aspartyl-l-arginyl-l-isoleucyl-l-seryl-l-seryl-l-seryl-l-serylglycyl-l-leucylglycyl-l-cysteinyl-l-lysyl-l-valyl-l-leucyl-l-arginyl-l-arginyl-, cyclic  10-26 -disulfide",,,
951,numerical,protein,Proteins,"protein, nos|protein-containing product|protein  substance|protein  nos|proteins|gene product|protein|product containing protein  product",,,
952,numerical,d-dimer,Fibrin fragment D,fibrin fragment dd|d-dimer fragments|d dimers|fibrin fragment d1 dimer|fibrin fragment d-dimer|ddimer|d-dimer fibrin|d-dimer  substance|fibrin d-dimer|d-dimer|fibrin fragment d|d dimer,,,
953,numerical,uric acid,uric acid,"2,6,8-trihydroxypurine|7,9-dihydro-1h-purine-2,6,8 3h -trione|2,6,8-trioxopurine|uric acid|uricum acidum|uric acid, nos|ua - uric acid|lithic acid|acid, uric|2,6,8-trioxypurine|trioxopurine|1h-purine-2,6,8-triol|purine-2,6,8 1h,3h,9h -trione|uric acid  substance|1h-purine-2,6,8 3h -trione, 7,9-dihydro-",,,
954,numerical,protein urine excretion rate,Urine protein test,"urine protein test  procedure|urine screening for protein  procedure|urine protein measurement|protein measurement, urine|urine protein|protein urine test|protein measurement, urine  procedure|urine protein level test|urine screening for protein|urine protein level|urine protein test",,,
955,numerical,thyroid stimulating hormone,thyrotropin,"thyrotrophin-containing product|thyrotrophin  substance|product containing thyrotrophin  medicinal product|thyroid stimulating hormone  tsh|thyrotrophin|thyrotropin|thyrotropic hormone preparation|tsh  thyroid stimulating hormone|thyreotropin|hormone, thyroid-stimulating|thyroid-stimulating hormone|thyrotropic hormone|tsh|thyroid stimulating hormone|tsh preparation|thyreotrophic hormone",,,
956,numerical,fsh,Follicle stimulating hormone injectable,"follicle stimulating hormone, injectable|injectable follicle stimulating hormone  fsh|fsh",,,
957,numerical,anti-double stranded dna,Anti-Double Stranded DNA Measurement,anti-double stranded dna|adsdna|anti-double stranded dna antibody measurement,,,
958,numerical,total t3,Triiodothyronine measurement,triiodothyronine measurement|triiodothyronine measurement  procedure|triiodothyronine level|triiodothyronine|total t3|t3|t3 - triiodothyronine level,,,
959,numerical,potassium,potassium,"k element|potassium  substance|potassium, nos|potassium 1+|k - potassium|potassium metal|kalium|potasio|potassium, metal|potassium|k|product containing potassium  medicinal product|potassium  nos|potassium-containing product|potassium, elemental",,,
960,numerical,urea,urea,carbonyldiamide|harnstoff|urea|karbamid|urea  substance|carbamide|product containing urea  medicinal product|urea-containing product,,,
961,numerical,hiv viral load,HIV,"lymphadenopathy-associated viruses|human t-lymphotropic virus type iii|acquired immune deficiency syndrome virus|lav|virus, human immunodeficiency|lymphadenopathy associated virus|acquired immunodeficiency syndrome virus|viruses, aids|lav-htlv-iii|aids virus|human t cell leukemia virus type iii|human t-cell lymphotropic virus type iii|virus, lymphadenopathy-associated|virus-hiv|human immunodeficiency virus  hiv|hiv, human immunodeficiency virus|hiv|human immunodeficiency virus, nos|htlv-iii|human t-cell leukemia virus type iii|immunodeficiency virus, human|aids viruses|immunodeficiency viruses, human|human immunodeficiency viruses|viruses, lymphadenopathy-associated|human immunodeficiency virus|virus  hiv , human immunodeficiency|lymphadenopathy-associated virus|viruses, human immunodeficiency|human t lymphotropic virus type iii|hiv - human immunodeficiency virus|human immunodeficiency virus  organism|human t cell lymphotropic virus type iii|virus, aids|htlv iii",,,
962,numerical,cardiolipin iga antibody,Cardiolipins,cardiolipins|cardiac lipoprotein  substance|cardiolipin|cardiac lipoprotein,,,
963,numerical,activated partial thromboplastin time,Activated Partial Thromboplastin Time measurement,"activated ptt|ptt - partial thromboplastin time|thromboplastin time, partial|activated partial thromboplastin time  aptt  test|partial thromboplastin time, activated|partial thromboplastin time: ptt|aptt|plasma thromboplastin test|ptt assay|partial thromboplastin time, activated  procedure|aptt - activated partial thromboplastin time|ptt, activated|partial thromboplastin time|activated partial thromboplastin time|ptt",,,
